timestamp,temperature,sp_active_columns,sp_sparsity,tm_active_cells,tm_predictive_cells,anomaly_score,sp_entropy,sp_mean_overlap,sp_dead_column_ratio,sp_max_duty_cycle,sp_mean_duty_cycle
2026-04-27T07:20,9,40,0.01953125,1280,0,1.0,5.321928094887363,0.0,0.98046875,1.0,0.01953125
2026-04-27T07:50,10,40,0.01953125,1280,0,1.0,5.346928094887363,0.9512195121951219,0.97998046875,1.0,0.01953125
2026-04-27T08:20,11,40,0.01953125,1280,0,1.0,5.344885490738725,0.975609756097561,0.97998046875,1.0,0.01953125
2026-04-27T08:50,12,40,0.01953125,1280,0,1.0,5.342210047998841,0.983739837398374,0.97998046875,1.0,0.01953125
2026-04-27T09:50,14,40,0.01953125,1280,40,1.0,5.339976297259548,0.9878048780487805,0.97998046875,1.0,0.01953125
2026-04-27T10:50,16,40,0.01953125,71,40,0.02500000037252903,5.35442921596978,0.9804878048780488,0.9794921875,1.0,0.01953125
2026-04-27T11:50,18,40,0.01953125,102,40,0.05000000074505806,5.373089748030646,0.975609756097561,0.97900390625,1.0,0.01953125
2026-04-27T12:50,18,40,0.01953125,133,40,0.07500000298023224,5.393249120231946,0.9721254355400697,0.978515625,1.0,0.01953125
2026-04-27T13:20,19,40,0.01953125,133,41,0.07500000298023224,5.401348963266788,0.975609756097561,0.978515625,1.0,0.01953125
2026-04-27T13:50,19,40,0.01953125,102,42,0.05000000074505806,5.40495902206923,0.978319783197832,0.978515625,1.0,0.01953125
2026-04-27T14:50,20,40,0.01953125,102,43,0.05000000074505806,5.417245962422304,0.975609756097561,0.97802734375,1.0,0.01953125
2026-04-27T15:50,21,40,0.01953125,164,43,0.10000000149011612,5.453553778291492,0.9651420615686072,0.9765625,1.0,0.01953125
2026-04-27T16:50,20,40,0.01953125,226,43,0.15000000596046448,5.490794590946745,0.9601103818347153,0.9755859375,1.0,0.01953125
2026-04-27T17:50,19,40,0.01953125,288,44,0.20000000298023224,5.528683637174152,0.9558528066752684,0.974609375,1.0,0.01953125
2026-04-27T18:50,18,40,0.01953125,319,47,0.22499999403953552,5.5680200789767085,0.9522034565385996,0.9736328125,1.0,0.01953125
2026-04-27T19:50,17,40,0.01953125,319,47,0.22499999403953552,5.616703828543011,0.9460875671879643,0.97216796875,1.0,0.01953125
2026-04-27T20:50,16,40,0.01953125,381,46,0.2750000059604645,5.68026449053105,0.9355682053498275,0.9697265625,1.0,0.01953125
2026-04-27T21:50,14,40,0.01953125,443,35,0.32499998807907104,5.748154443987431,0.9286631237517093,0.9677734375,1.0,0.01953125
2026-04-27T22:50,14,40,0.01953125,536,33,0.4000000059604645,5.803803855131207,0.9273352782522757,0.966796875,1.0,0.01953125
2026-04-27T23:50,12,40,0.01953125,505,32,0.375,5.855080081479745,0.9261472059633088,0.9658203125,1.0,0.01953125
2026-04-28T00:50,10,40,0.01953125,412,35,0.30000001192092896,5.90223921230306,0.9250779409032386,0.96484375,1.0,0.01953125
2026-04-28T01:50,11,40,0.01953125,257,36,0.17499999701976776,5.940959782655774,0.9263227776314237,0.96435546875,1.0,0.01953125
2026-04-28T02:50,10,40,0.01953125,288,38,0.20000000298023224,5.9813164491027635,0.9233292475699529,0.96337890625,1.0,0.01953125
2026-04-28T03:50,10,40,0.01953125,257,40,0.17499999701976776,6.008957931542481,0.9245418677710472,0.96337890625,1.0,0.01953125
2026-04-28T04:50,9,40,0.01953125,381,42,0.2750000059604645,6.028560705328541,0.9168163913965289,0.96337890625,1.0,0.01953125
